caso,iteración,n,ops_asignacion,ops_comparacion,ops_aritmética,ops_totales,modelo_matemático
mejor_caso,0,5000,2,25005000,5000,25010002,25005000
mejor_caso,1,5000,2,25005000,5000,25010002,25005000
mejor_caso,2,5000,2,25005000,5000,25010002,25005000
mejor_caso,3,5000,2,25005000,5000,25010002,25005000
mejor_caso,4,5000,2,25005000,5000,25010002,25005000
mejor_caso,5,5000,2,25005000,5000,25010002,25005000
mejor_caso,6,5000,2,25005000,5000,25010002,25005000
mejor_caso,7,5000,2,25005000,5000,25010002,25005000
mejor_caso,8,5000,2,25005000,5000,25010002,25005000
mejor_caso,9,5000,2,25005000,5000,25010002,25005000
peor_caso,0,5000,198,25005000,330850,25336048,50015000
peor_caso,1,5000,198,25005000,330850,25336048,50015000
peor_caso,2,5000,198,25005000,330850,25336048,50015000
peor_caso,3,5000,198,25005000,330850,25336048,50015000
peor_caso,4,5000,198,25005000,330850,25336048,50015000
peor_caso,5,5000,198,25005000,330850,25336048,50015000
peor_caso,6,5000,198,25005000,330850,25336048,50015000
peor_caso,7,5000,198,25005000,330850,25336048,50015000
peor_caso,8,5000,198,25005000,330850,25336048,50015000
peor_caso,9,5000,198,25005000,330850,25336048,50015000
caso_medio,0,5000,12,25005000,10020,25015032,37510000
caso_medio,1,5000,10,25005000,10184,25015194,37510000
caso_medio,2,5000,14,25005000,9880,25014894,37510000
caso_medio,3,5000,10,25005000,9970,25014980,37510000
caso_medio,4,5000,10,25005000,9928,25014938,37510000
caso_medio,5,5000,6,25005000,9974,25014980,37510000
caso_medio,6,5000,6,25005000,10048,25015054,37510000
caso_medio,7,5000,6,25005000,10102,25015108,37510000
caso_medio,8,5000,8,25005000,9996,25015004,37510000
caso_medio,9,5000,10,25005000,10138,25015148,37510000
